kdprov,nmprov,kdkab,nmkab,kdkec,nmkec,kddesa,nmdesa,klas,kdsls,kdsubsls,nmsls
61,KALIMANTAN BARAT,12,KUBU RAYA,010,BATU AMPAR,001,TANJUNG HARAPAN,2,0001,0,RT 01 RW 01 DUSUN KARYA INDAH
61,KALIMANTAN BARAT,12,KUBU RAYA,010,BATU AMPAR,001,TANJUNG HARAPAN,2,0002,0,RT 02 RW 01 DUSUN KARYA INDAH
61,KALIMANTAN BARAT,12,KUBU RAYA,010,BATU AMPAR,001,TANJUNG HARAPAN,2,0003,0,RT 03 RW 01 DUSUN KARYA INDAH
61,KALIMANTAN BARAT,12,KUBU RAYA,010,BATU AMPAR,001,TANJUNG HARAPAN,2,0004,0,RT 04 RW 02 DUSUN KARYA JAYA
61,KALIMANTAN BARAT,12,KUBU RAYA,010,BATU AMPAR,001,TANJUNG HARAPAN,2,0005,0,RT 05 RW 02 DUSUN KARYA JAYA
61,KALIMANTAN BARAT,12,KUBU RAYA,010,BATU AMPAR,001,TANJUNG HARAPAN,2,0006,0,RT 06 RW 02 DUSUN KARYA JAYA
61,KALIMANTAN BARAT,12,KUBU RAYA,010,BATU AMPAR,001,TANJUNG HARAPAN,2,2001,0,HUTAN
61,KALIMANTAN BARAT,12,KUBU RAYA,010,BATU AMPAR,001,TANJUNG HARAPAN,2,2002,0,HUTAN
61,KALIMANTAN BARAT,12,KUBU RAYA,010,BATU AMPAR,001,TANJUNG HARAPAN,2,2003,0,HUTAN
61,KALIMANTAN BARAT,12,KUBU RAYA,010,BATU AMPAR,001,TANJUNG HARAPAN,2,2004,0,HUTAN
61,KALIMANTAN BARAT,12,KUBU RAYA,010,BATU AMPAR,002,AMBARAWA,2,0001,0,RT 06 RW 03 DUSUN SETIA INDAH
61,KALIMANTAN BARAT,12,KUBU RAYA,010,BATU AMPAR,002,AMBARAWA,2,0002,0,RT 05 RW 03 DUSUN SETIA INDAH
61,KALIMANTAN BARAT,12,KUBU RAYA,010,BATU AMPAR,002,AMBARAWA,2,0003,0,RT 04 RW 02 DUSUN SETIA JAYA
